"numero_aula";"codigo_aula";"modulo";"nome_modulo";"status_aula";"tipo_aula";"titulo_aula";"arquivo_md";"conteudo_principal";"fonte_decisao";"regra_continuidade"
"10";"M0.10";"M0";"Ambiente, metodo e ferramentas";"CONCLUIDA_GERADA";"Aula pratica guiada";"# Java";"010_M0_10_GIT_LOCAL_DO_ZERO.md";"Aula ja gerada em Markdown em docs/aulas. Fonte operacional: arquivo real auditado. Manter conteudo, nome, numeracao e sequencia.";"ARQUIVO_REAL_DOCS_AULAS_AUDITORIA_POS_474";"Nao reescrever, nao renomear, nao deslocar numeracao e nao usar como ponto de retomada, exceto para contexto."
"11";"M0.11";"M0";"Ambiente, metodo e ferramentas";"CONCLUIDA_GERADA";"Aula pratica guiada";"GitHub e Repositório Remoto";"011_M0_11_GITHUB_E_REPOSITORIO_REMOTO.md";"Aula ja gerada em Markdown em docs/aulas. Fonte operacional: arquivo real auditado. Manter conteudo, nome, numeracao e sequencia.";"ARQUIVO_REAL_DOCS_AULAS_AUDITORIA_POS_474";"Nao reescrever, nao renomear, nao deslocar numeracao e nao usar como ponto de retomada, exceto para contexto."
"12";"M0.12";"M0";"Ambiente, metodo e ferramentas";"CONCLUIDA_GERADA";"Aula pratica guiada";"# Título";"012_M0_12_MARKDOWN_PARA_DOCUMENTACAO_TECNICA.md";"Aula ja gerada em Markdown em docs/aulas. Fonte operacional: arquivo real auditado. Manter conteudo, nome, numeracao e sequencia.";"ARQUIVO_REAL_DOCS_AULAS_AUDITORIA_POS_474";"Nao reescrever, nao renomear, nao deslocar numeracao e nao usar como ponto de retomada, exceto para contexto."
"13";"M0.13";"M0";"Ambiente, metodo e ferramentas";"CONCLUIDA_GERADA";"Aula pratica guiada";"# Diário de bordo";"013_M0_13_DIARIO_DE_BORDO_E_RASTREABILIDADE_DO_APRENDIZADO.md";"Aula ja gerada em Markdown em docs/aulas. Fonte operacional: arquivo real auditado. Manter conteudo, nome, numeracao e sequencia.";"ARQUIVO_REAL_DOCS_AULAS_AUDITORIA_POS_474";"Nao reescrever, nao renomear, nao deslocar numeracao e nao usar como ponto de retomada, exceto para contexto."
"14";"M0.14";"M0";"Ambiente, metodo e ferramentas";"CONCLUIDA_GERADA";"Aula pratica guiada";"# AGENTS.md";"014_M0_14_CODEX_IA_NO_INTELLIJ_COM_ETICA_E_METODO.md";"Aula ja gerada em Markdown em docs/aulas. Fonte operacional: arquivo real auditado. Manter conteudo, nome, numeracao e sequencia.";"ARQUIVO_REAL_DOCS_AULAS_AUDITORIA_POS_474";"Nao reescrever, nao renomear, nao deslocar numeracao e nao usar como ponto de retomada, exceto para contexto."
"15";"M0.15";"M0";"Ambiente, metodo e ferramentas";"CONCLUIDA_GERADA";"Aula pratica guiada";"# Ambiente de desenvolvimento";"015_M0_15_MAVEN_INSTALACAO_E_VALIDACAO_INICIAL_OFICIAL.md";"Aula ja gerada em Markdown em docs/aulas. Fonte operacional: arquivo real auditado. Manter conteudo, nome, numeracao e sequencia.";"ARQUIVO_REAL_DOCS_AULAS_AUDITORIA_POS_474";"Nao reescrever, nao renomear, nao deslocar numeracao e nao usar como ponto de retomada, exceto para contexto."
"16";"M0.16";"M0";"Ambiente, metodo e ferramentas";"CONCLUIDA_GERADA";"Aula pratica guiada";"# Ambiente de desenvolvimento";"016_M0_16_POSTGRESQL_E_DBEAVER_PREPARACAO_OFICIAL.md";"Aula ja gerada em Markdown em docs/aulas. Fonte operacional: arquivo real auditado. Manter conteudo, nome, numeracao e sequencia.";"ARQUIVO_REAL_DOCS_AULAS_AUDITORIA_POS_474";"Nao reescrever, nao renomear, nao deslocar numeracao e nao usar como ponto de retomada, exceto para contexto."
"17";"M0.17";"M0";"Ambiente, metodo e ferramentas";"CONCLUIDA_GERADA";"Aula pratica guiada";"# Criar cliente";"017_M0_17_POSTMAN_INSOMNIA_E_HTTP_BASICO_OFICIAL.md";"Aula ja gerada em Markdown em docs/aulas. Fonte operacional: arquivo real auditado. Manter conteudo, nome, numeracao e sequencia.";"ARQUIVO_REAL_DOCS_AULAS_AUDITORIA_POS_474";"Nao reescrever, nao renomear, nao deslocar numeracao e nao usar como ponto de retomada, exceto para contexto."
"18";"M0.18";"M0";"Ambiente, metodo e ferramentas";"CONCLUIDA_GERADA";"Aula pratica guiada";"# Checklist — Docker Desktop e WSL2";"018_M0_18_DOCKER_DESKTOP_E_WSL2_PREPARACAO_OFICIAL.md";"Aula ja gerada em Markdown em docs/aulas. Fonte operacional: arquivo real auditado. Manter conteudo, nome, numeracao e sequencia.";"ARQUIVO_REAL_DOCS_AULAS_AUDITORIA_POS_474";"Nao reescrever, nao renomear, nao deslocar numeracao e nao usar como ponto de retomada, exceto para contexto."
"19";"M0.19";"M0";"Ambiente, metodo e ferramentas";"CONCLUIDA_GERADA";"Aula pratica guiada";"# Formação Java Backend";"019_M0_19_ESTRUTURA_PROFISSIONAL_DO_REPOSITORIO_DE_CURSO_OFICIAL.md";"Aula ja gerada em Markdown em docs/aulas. Fonte operacional: arquivo real auditado. Manter conteudo, nome, numeracao e sequencia.";"ARQUIVO_REAL_DOCS_AULAS_AUDITORIA_POS_474";"Nao reescrever, nao renomear, nao deslocar numeracao e nao usar como ponto de retomada, exceto para contexto."
"20";"M0.20";"M0";"Ambiente, metodo e ferramentas";"CONCLUIDA_GERADA";"Aula pratica guiada";"# Checklist final do ambiente";"020_M0_20_CHECKLIST_FINAL_DO_AMBIENTE_OFICIAL.md";"Aula ja gerada em Markdown em docs/aulas. Fonte operacional: arquivo real auditado. Manter conteudo, nome, numeracao e sequencia.";"ARQUIVO_REAL_DOCS_AULAS_AUDITORIA_POS_474";"Nao reescrever, nao renomear, nao deslocar numeracao e nao usar como ponto de retomada, exceto para contexto."
"21";"M1.01";"M1";"Java fundamentos absolutos";"CONCLUIDA_GERADA";"Aula pratica guiada";"Primeiro Programa Java Destrinchado";"021_M1_01_PRIMEIRO_PROGRAMA_JAVA_DESTRINCHADO_OFICIAL.md";"Aula ja gerada em Markdown em docs/aulas. Fonte operacional: arquivo real auditado. Manter conteudo, nome, numeracao e sequencia.";"ARQUIVO_REAL_DOCS_AULAS_AUDITORIA_POS_474";"Nao reescrever, nao renomear, nao deslocar numeracao e nao usar como ponto de retomada, exceto para contexto."
"22";"M1.02";"M1";"Java fundamentos absolutos";"CONCLUIDA_GERADA";"Aula pratica guiada";"Blocos, Chaves, Indentação e Leitura de Código";"022_M1_02_BLOCOS_CHAVES_INDENTACAO_E_LEITURA_DE_CODIGO_OFICIAL.md";"Aula ja gerada em Markdown em docs/aulas. Fonte operacional: arquivo real auditado. Manter conteudo, nome, numeracao e sequencia.";"ARQUIVO_REAL_DOCS_AULAS_AUDITORIA_POS_474";"Nao reescrever, nao renomear, nao deslocar numeracao e nao usar como ponto de retomada, exceto para contexto."
"23";"M1.03";"M1";"Java fundamentos absolutos";"CONCLUIDA_GERADA";"Aula pratica guiada";"# Aula 023 — Comentários úteis";"023_M1_03_COMENTARIOS_UTEIS_E_DOCUMENTACAO_INICIAL_OFICIAL.md";"Aula ja gerada em Markdown em docs/aulas. Fonte operacional: arquivo real auditado. Manter conteudo, nome, numeracao e sequencia.";"ARQUIVO_REAL_DOCS_AULAS_AUDITORIA_POS_474";"Nao reescrever, nao renomear, nao deslocar numeracao e nao usar como ponto de retomada, exceto para contexto."
"24";"M1.04";"M1";"Java fundamentos absolutos";"CONCLUIDA_GERADA";"Aula pratica guiada";"Variáveis e Nomes Profissionais";"024_M1_04_VARIAVEIS_E_NOMES_PROFISSIONAIS_OFICIAL.md";"Aula ja gerada em Markdown em docs/aulas. Fonte operacional: arquivo real auditado. Manter conteudo, nome, numeracao e sequencia.";"ARQUIVO_REAL_DOCS_AULAS_AUDITORIA_POS_474";"Nao reescrever, nao renomear, nao deslocar numeracao e nao usar como ponto de retomada, exceto para contexto."
"25";"M1.05";"M1";"Java fundamentos absolutos";"CONCLUIDA_GERADA";"Aula pratica guiada";"Tipos Inteiros em Java";"025_M1_05_TIPOS_INTEIROS_EM_JAVA_OFICIAL.md";"Aula ja gerada em Markdown em docs/aulas. Fonte operacional: arquivo real auditado. Manter conteudo, nome, numeracao e sequencia.";"ARQUIVO_REAL_DOCS_AULAS_AUDITORIA_POS_474";"Nao reescrever, nao renomear, nao deslocar numeracao e nao usar como ponto de retomada, exceto para contexto."
"26";"M1.06";"M1";"Java fundamentos absolutos";"CONCLUIDA_GERADA";"Aula pratica guiada";"Tipos Decimais e Primeiras Limitações";"026_M1_06_TIPOS_DECIMAIS_E_PRIMEIRAS_LIMITACOES_OFICIAL.md";"Aula ja gerada em Markdown em docs/aulas. Fonte operacional: arquivo real auditado. Manter conteudo, nome, numeracao e sequencia.";"ARQUIVO_REAL_DOCS_AULAS_AUDITORIA_POS_474";"Nao reescrever, nao renomear, nao deslocar numeracao e nao usar como ponto de retomada, exceto para contexto."
"27";"M1.07";"M1";"Java fundamentos absolutos";"CONCLUIDA_GERADA";"Aula pratica guiada";"Boolean e Regras Verdadeiras/Falsas";"027_M1_07_BOOLEAN_E_REGRAS_VERDADEIRAS_FALSAS_OFICIAL.md";"Aula ja gerada em Markdown em docs/aulas. Fonte operacional: arquivo real auditado. Manter conteudo, nome, numeracao e sequencia.";"ARQUIVO_REAL_DOCS_AULAS_AUDITORIA_POS_474";"Nao reescrever, nao renomear, nao deslocar numeracao e nao usar como ponto de retomada, exceto para contexto."
"28";"M1.08";"M1";"Java fundamentos absolutos";"CONCLUIDA_GERADA";"Aula pratica guiada";"Char e String em Uso Inicial";"028_M1_08_CHAR_E_STRING_EM_USO_INICIAL_OFICIAL.md";"Aula ja gerada em Markdown em docs/aulas. Fonte operacional: arquivo real auditado. Manter conteudo, nome, numeracao e sequencia.";"ARQUIVO_REAL_DOCS_AULAS_AUDITORIA_POS_474";"Nao reescrever, nao renomear, nao deslocar numeracao e nao usar como ponto de retomada, exceto para contexto."
"29";"M1.09";"M1";"Java fundamentos absolutos";"CONCLUIDA_GERADA";"Aula pratica guiada";"String Básica";"029_M1_09_STRING_BASICA_OFICIAL.md";"Aula ja gerada em Markdown em docs/aulas. Fonte operacional: arquivo real auditado. Manter conteudo, nome, numeracao e sequencia.";"ARQUIVO_REAL_DOCS_AULAS_AUDITORIA_POS_474";"Nao reescrever, nao renomear, nao deslocar numeracao e nao usar como ponto de retomada, exceto para contexto."
"30";"M1.10";"M1";"Java fundamentos absolutos";"CONCLUIDA_GERADA";"Aula pratica guiada";"Entrada de Dados com Scanner";"030_M1_10_ENTRADA_DE_DADOS_COM_SCANNER_OFICIAL.md";"Aula ja gerada em Markdown em docs/aulas. Fonte operacional: arquivo real auditado. Manter conteudo, nome, numeracao e sequencia.";"ARQUIVO_REAL_DOCS_AULAS_AUDITORIA_POS_474";"Nao reescrever, nao renomear, nao deslocar numeracao e nao usar como ponto de retomada, exceto para contexto."
"31";"M1.11";"M1";"Java fundamentos absolutos";"CONCLUIDA_GERADA";"Aula pratica guiada";"Operadores Aritméticos";"031_M1_11_OPERADORES_ARITMETICOS_OFICIAL.md";"Aula ja gerada em Markdown em docs/aulas. Fonte operacional: arquivo real auditado. Manter conteudo, nome, numeracao e sequencia.";"ARQUIVO_REAL_DOCS_AULAS_AUDITORIA_POS_474";"Nao reescrever, nao renomear, nao deslocar numeracao e nao usar como ponto de retomada, exceto para contexto."
"32";"M1.12";"M1";"Java fundamentos absolutos";"CONCLUIDA_GERADA";"Aula pratica guiada";"Operadores Relacionais";"032_M1_12_OPERADORES_RELACIONAIS_OFICIAL.md";"Aula ja gerada em Markdown em docs/aulas. Fonte operacional: arquivo real auditado. Manter conteudo, nome, numeracao e sequencia.";"ARQUIVO_REAL_DOCS_AULAS_AUDITORIA_POS_474";"Nao reescrever, nao renomear, nao deslocar numeracao e nao usar como ponto de retomada, exceto para contexto."
"33";"M1.13";"M1";"Java fundamentos absolutos";"CONCLUIDA_GERADA";"Aula pratica guiada";"# 033 — M1.13 — Operadores lógicos";"033_M1_13_OPERADORES_LOGICOS_OFICIAL.md";"Aula ja gerada em Markdown em docs/aulas. Fonte operacional: arquivo real auditado. Manter conteudo, nome, numeracao e sequencia.";"ARQUIVO_REAL_DOCS_AULAS_AUDITORIA_POS_474";"Nao reescrever, nao renomear, nao deslocar numeracao e nao usar como ponto de retomada, exceto para contexto."
"34";"M1.14";"M1";"Java fundamentos absolutos";"CONCLUIDA_GERADA";"Aula pratica guiada";"# 034 — M1.14 — Incremento, decremento e acumuladores";"034_M1_14_INCREMENTO_DECREMENTO_E_ACUMULADORES_OFICIAL.md";"Aula ja gerada em Markdown em docs/aulas. Fonte operacional: arquivo real auditado. Manter conteudo, nome, numeracao e sequencia.";"ARQUIVO_REAL_DOCS_AULAS_AUDITORIA_POS_474";"Nao reescrever, nao renomear, nao deslocar numeracao e nao usar como ponto de retomada, exceto para contexto."
"35";"M1.15";"M1";"Java fundamentos absolutos";"CONCLUIDA_GERADA";"Aula pratica guiada";"# 035 — M1.15 — If, else if e else";"035_M1_15_IF_ELSE_IF_E_ELSE_OFICIAL.md";"Aula ja gerada em Markdown em docs/aulas. Fonte operacional: arquivo real auditado. Manter conteudo, nome, numeracao e sequencia.";"ARQUIVO_REAL_DOCS_AULAS_AUDITORIA_POS_474";"Nao reescrever, nao renomear, nao deslocar numeracao e nao usar como ponto de retomada, exceto para contexto."
"36";"M1.16";"M1";"Java fundamentos absolutos";"CONCLUIDA_GERADA";"Aula pratica guiada";"Ifs Aninhados e Simplificação";"036_M1_16_IFS_ANINHADOS_E_SIMPLIFICACAO_OFICIAL.md";"Aula ja gerada em Markdown em docs/aulas. Fonte operacional: arquivo real auditado. Manter conteudo, nome, numeracao e sequencia.";"ARQUIVO_REAL_DOCS_AULAS_AUDITORIA_POS_474";"Nao reescrever, nao renomear, nao deslocar numeracao e nao usar como ponto de retomada, exceto para contexto."
"37";"M1.17";"M1";"Java fundamentos absolutos";"CONCLUIDA_GERADA";"Aula pratica guiada";"Switch Tradicional";"037_M1_17_SWITCH_TRADICIONAL_OFICIAL.md";"Aula ja gerada em Markdown em docs/aulas. Fonte operacional: arquivo real auditado. Manter conteudo, nome, numeracao e sequencia.";"ARQUIVO_REAL_DOCS_AULAS_AUDITORIA_POS_474";"Nao reescrever, nao renomear, nao deslocar numeracao e nao usar como ponto de retomada, exceto para contexto."
"38";"M1.18";"M1";"Java fundamentos absolutos";"CONCLUIDA_GERADA";"Aula pratica guiada";"Switch Moderno e Expressões";"038_M1_18_SWITCH_MODERNO_E_EXPRESSOES_OFICIAL.md";"Aula ja gerada em Markdown em docs/aulas. Fonte operacional: arquivo real auditado. Manter conteudo, nome, numeracao e sequencia.";"ARQUIVO_REAL_DOCS_AULAS_AUDITORIA_POS_474";"Nao reescrever, nao renomear, nao deslocar numeracao e nao usar como ponto de retomada, exceto para contexto."
"39";"M1.19";"M1";"Java fundamentos absolutos";"CONCLUIDA_GERADA";"Aula pratica guiada";"While";"039_M1_19_WHILE_OFICIAL.md";"Aula ja gerada em Markdown em docs/aulas. Fonte operacional: arquivo real auditado. Manter conteudo, nome, numeracao e sequencia.";"ARQUIVO_REAL_DOCS_AULAS_AUDITORIA_POS_474";"Nao reescrever, nao renomear, nao deslocar numeracao e nao usar como ponto de retomada, exceto para contexto."
"40";"M1.20";"M1";"Java fundamentos absolutos";"CONCLUIDA_GERADA";"Aula pratica guiada";"Do While";"040_M1_20_DO_WHILE_OFICIAL.md";"Aula ja gerada em Markdown em docs/aulas. Fonte operacional: arquivo real auditado. Manter conteudo, nome, numeracao e sequencia.";"ARQUIVO_REAL_DOCS_AULAS_AUDITORIA_POS_474";"Nao reescrever, nao renomear, nao deslocar numeracao e nao usar como ponto de retomada, exceto para contexto."
"41";"M1.21";"M1";"Java fundamentos absolutos";"CONCLUIDA_GERADA";"Aula pratica guiada";"For Clássico";"041_M1_21_FOR_CLASSICO_OFICIAL.md";"Aula ja gerada em Markdown em docs/aulas. Fonte operacional: arquivo real auditado. Manter conteudo, nome, numeracao e sequencia.";"ARQUIVO_REAL_DOCS_AULAS_AUDITORIA_POS_474";"Nao reescrever, nao renomear, nao deslocar numeracao e nao usar como ponto de retomada, exceto para contexto."
"42";"M1.22";"M1";"Java fundamentos absolutos";"CONCLUIDA_GERADA";"Aula pratica guiada";"Break e Continue";"042_M1_22_BREAK_E_CONTINUE_OFICIAL.md";"Aula ja gerada em Markdown em docs/aulas. Fonte operacional: arquivo real auditado. Manter conteudo, nome, numeracao e sequencia.";"ARQUIVO_REAL_DOCS_AULAS_AUDITORIA_POS_474";"Nao reescrever, nao renomear, nao deslocar numeracao e nao usar como ponto de retomada, exceto para contexto."
"43";"M1.23";"M1";"Java fundamentos absolutos";"CONCLUIDA_GERADA";"Aula pratica guiada";"Laços Aninhados";"043_M1_23_LACOS_ANINHADOS_OFICIAL.md";"Aula ja gerada em Markdown em docs/aulas. Fonte operacional: arquivo real auditado. Manter conteudo, nome, numeracao e sequencia.";"ARQUIVO_REAL_DOCS_AULAS_AUDITORIA_POS_474";"Nao reescrever, nao renomear, nao deslocar numeracao e nao usar como ponto de retomada, exceto para contexto."
"44";"M1.24";"M1";"Java fundamentos absolutos";"CONCLUIDA_GERADA";"Aula pratica guiada";"Validação de Entrada sem Try/Catch Profundo";"044_M1_24_VALIDACAO_DE_ENTRADA_SEM_TRY_CATCH_PROFUNDO_OFICIAL.md";"Aula ja gerada em Markdown em docs/aulas. Fonte operacional: arquivo real auditado. Manter conteudo, nome, numeracao e sequencia.";"ARQUIVO_REAL_DOCS_AULAS_AUDITORIA_POS_474";"Nao reescrever, nao renomear, nao deslocar numeracao e nao usar como ponto de retomada, exceto para contexto."
"45";"M1.25";"M1";"Java fundamentos absolutos";"CONCLUIDA_GERADA";"Aula pratica guiada";"Arrays de Números";"045_M1_25_ARRAYS_DE_NUMEROS_OFICIAL.md";"Aula ja gerada em Markdown em docs/aulas. Fonte operacional: arquivo real auditado. Manter conteudo, nome, numeracao e sequencia.";"ARQUIVO_REAL_DOCS_AULAS_AUDITORIA_POS_474";"Nao reescrever, nao renomear, nao deslocar numeracao e nao usar como ponto de retomada, exceto para contexto."
"46";"M1.26";"M1";"Java fundamentos absolutos";"CONCLUIDA_GERADA";"Aula pratica guiada";"Arrays com Tamanho Definido pelo Usuário";"046_M1_26_ARRAYS_COM_TAMANHO_DEFINIDO_PELO_USUARIO_OFICIAL.md";"Aula ja gerada em Markdown em docs/aulas. Fonte operacional: arquivo real auditado. Manter conteudo, nome, numeracao e sequencia.";"ARQUIVO_REAL_DOCS_AULAS_AUDITORIA_POS_474";"Nao reescrever, nao renomear, nao deslocar numeracao e nao usar como ponto de retomada, exceto para contexto."
"47";"M1.27";"M1";"Java fundamentos absolutos";"CONCLUIDA_GERADA";"Aula pratica guiada";"Alteração de Posições do Array";"047_M1_27_ALTERACAO_DE_POSICOES_DO_ARRAY_OFICIAL.md";"Aula ja gerada em Markdown em docs/aulas. Fonte operacional: arquivo real auditado. Manter conteudo, nome, numeracao e sequencia.";"ARQUIVO_REAL_DOCS_AULAS_AUDITORIA_POS_474";"Nao reescrever, nao renomear, nao deslocar numeracao e nao usar como ponto de retomada, exceto para contexto."
"48";"M1.28";"M1";"Java fundamentos absolutos";"CONCLUIDA_GERADA";"Aula pratica guiada";"Busca em Array";"048_M1_28_BUSCA_EM_ARRAY_OFICIAL.md";"Aula ja gerada em Markdown em docs/aulas. Fonte operacional: arquivo real auditado. Manter conteudo, nome, numeracao e sequencia.";"ARQUIVO_REAL_DOCS_AULAS_AUDITORIA_POS_474";"Nao reescrever, nao renomear, nao deslocar numeracao e nao usar como ponto de retomada, exceto para contexto."
"49";"M1.29";"M1";"Java fundamentos absolutos";"CONCLUIDA_GERADA";"Aula pratica guiada";"Maior, Menor, Soma e Média em Array";"049_M1_29_MAIOR_MENOR_SOMA_E_MEDIA_EM_ARRAY_OFICIAL.md";"Aula ja gerada em Markdown em docs/aulas. Fonte operacional: arquivo real auditado. Manter conteudo, nome, numeracao e sequencia.";"ARQUIVO_REAL_DOCS_AULAS_AUDITORIA_POS_474";"Nao reescrever, nao renomear, nao deslocar numeracao e nao usar como ponto de retomada, exceto para contexto."
"50";"M1.30";"M1";"Java fundamentos absolutos";"CONCLUIDA_GERADA";"Aula pratica guiada";"Arrays de String";"050_M1_30_ARRAYS_DE_STRING_OFICIAL.md";"Aula ja gerada em Markdown em docs/aulas. Fonte operacional: arquivo real auditado. Manter conteudo, nome, numeracao e sequencia.";"ARQUIVO_REAL_DOCS_AULAS_AUDITORIA_POS_474";"Nao reescrever, nao renomear, nao deslocar numeracao e nao usar como ponto de retomada, exceto para contexto."
"51";"M1.31";"M1";"Java fundamentos absolutos";"CONCLUIDA_GERADA";"Aula pratica guiada";"Arrays Paralelos";"051_M1_31_ARRAYS_PARALELOS_OFICIAL.md";"Aula ja gerada em Markdown em docs/aulas. Fonte operacional: arquivo real auditado. Manter conteudo, nome, numeracao e sequencia.";"ARQUIVO_REAL_DOCS_AULAS_AUDITORIA_POS_474";"Nao reescrever, nao renomear, nao deslocar numeracao e nao usar como ponto de retomada, exceto para contexto."
"52";"M1.32";"M1";"Java fundamentos absolutos";"CONCLUIDA_GERADA";"Aula pratica guiada";"Matriz Bidimensional Inicial";"052_M1_32_MATRIZ_BIDIMENSIONAL_INICIAL_OFICIAL.md";"Aula ja gerada em Markdown em docs/aulas. Fonte operacional: arquivo real auditado. Manter conteudo, nome, numeracao e sequencia.";"ARQUIVO_REAL_DOCS_AULAS_AUDITORIA_POS_474";"Nao reescrever, nao renomear, nao deslocar numeracao e nao usar como ponto de retomada, exceto para contexto."
"53";"M1.33";"M1";"Java fundamentos absolutos";"CONCLUIDA_GERADA";"Aula pratica guiada";"Métodos sem Retorno";"053_M1_33_METODOS_SEM_RETORNO_OFICIAL.md";"Aula ja gerada em Markdown em docs/aulas. Fonte operacional: arquivo real auditado. Manter conteudo, nome, numeracao e sequencia.";"ARQUIVO_REAL_DOCS_AULAS_AUDITORIA_POS_474";"Nao reescrever, nao renomear, nao deslocar numeracao e nao usar como ponto de retomada, exceto para contexto."
