"numero_aula";"codigo_aula";"modulo";"nome_modulo";"status_aula";"tipo_aula";"titulo_aula";"arquivo_md";"conteudo_principal";"fonte_decisao";"regra_continuidade"
"657";"M19.47";"M19";"Arquitetura, DDD, sistemas distribuidos e lideranca tecnica";"PLANEJADA_RECONSTRUIDA";"Aula pratica guiada";"Performance como decisao arquitetural";"657_M19_47_PERFORMANCE_COMO_DECISAO_ARQUITETURAL_OFICIAL.md";"Aula planejada: Performance como decisao arquitetural. Formar raciocinio de engenharia e arquitetura: fronteiras, DDD, sistemas distribuidos, trade-offs e lideranca tecnica.";"GRADE_RECONSTRUIDA_CONTINUIDADE_FINAL_POS_635";"Gerar somente quando chegar nesta aula. Validar contra a aula anterior imediata, manter numeracao, modulo, laboratorio, escopo e ponte."
"658";"M19.48";"M19";"Arquitetura, DDD, sistemas distribuidos e lideranca tecnica";"PLANEJADA_RECONSTRUIDA";"Aula pratica guiada";"Code review arquitetural";"658_M19_48_CODE_REVIEW_ARQUITETURAL_OFICIAL.md";"Aula planejada: Code review arquitetural. Formar raciocinio de engenharia e arquitetura: fronteiras, DDD, sistemas distribuidos, trade-offs e lideranca tecnica.";"GRADE_RECONSTRUIDA_CONTINUIDADE_FINAL_POS_635";"Gerar somente quando chegar nesta aula. Validar contra a aula anterior imediata, manter numeracao, modulo, laboratorio, escopo e ponte."
"659";"M19.49";"M19";"Arquitetura, DDD, sistemas distribuidos e lideranca tecnica";"PLANEJADA_RECONSTRUIDA";"Aula pratica guiada";"Lideranca tecnica";"659_M19_49_LIDERANCA_TECNICA_OFICIAL.md";"Aula planejada: Lideranca tecnica. Formar raciocinio de engenharia e arquitetura: fronteiras, DDD, sistemas distribuidos, trade-offs e lideranca tecnica.";"GRADE_RECONSTRUIDA_CONTINUIDADE_FINAL_POS_635";"Gerar somente quando chegar nesta aula. Validar contra a aula anterior imediata, manter numeracao, modulo, laboratorio, escopo e ponte."
"660";"M19.50";"M19";"Arquitetura, DDD, sistemas distribuidos e lideranca tecnica";"PLANEJADA_RECONSTRUIDA";"Aula pratica guiada";"Mentoria e comunicacao tecnica";"660_M19_50_MENTORIA_E_COMUNICACAO_TECNICA_OFICIAL.md";"Aula planejada: Mentoria e comunicacao tecnica. Formar raciocinio de engenharia e arquitetura: fronteiras, DDD, sistemas distribuidos, trade-offs e lideranca tecnica.";"GRADE_RECONSTRUIDA_CONTINUIDADE_FINAL_POS_635";"Gerar somente quando chegar nesta aula. Validar contra a aula anterior imediata, manter numeracao, modulo, laboratorio, escopo e ponte."
"661";"M19.51";"M19";"Arquitetura, DDD, sistemas distribuidos e lideranca tecnica";"PLANEJADA_RECONSTRUIDA";"Aula pratica guiada";"Arquitetura corporativa brasileira";"661_M19_51_ARQUITETURA_CORPORATIVA_BRASILEIRA_OFICIAL.md";"Aula planejada: Arquitetura corporativa brasileira. Formar raciocinio de engenharia e arquitetura: fronteiras, DDD, sistemas distribuidos, trade-offs e lideranca tecnica.";"GRADE_RECONSTRUIDA_CONTINUIDADE_FINAL_POS_635";"Gerar somente quando chegar nesta aula. Validar contra a aula anterior imediata, manter numeracao, modulo, laboratorio, escopo e ponte."
"662";"M19.52";"M19";"Arquitetura, DDD, sistemas distribuidos e lideranca tecnica";"PLANEJADA_RECONSTRUIDA";"Aula pratica guiada";"Governanca tecnica leve";"662_M19_52_GOVERNANCA_TECNICA_LEVE_OFICIAL.md";"Aula planejada: Governanca tecnica leve. Formar raciocinio de engenharia e arquitetura: fronteiras, DDD, sistemas distribuidos, trade-offs e lideranca tecnica.";"GRADE_RECONSTRUIDA_CONTINUIDADE_FINAL_POS_635";"Gerar somente quando chegar nesta aula. Validar contra a aula anterior imediata, manter numeracao, modulo, laboratorio, escopo e ponte."
"663";"M19.53";"M19";"Arquitetura, DDD, sistemas distribuidos e lideranca tecnica";"PLANEJADA_RECONSTRUIDA";"Aula pratica guiada";"Documentacao arquitetural viva";"663_M19_53_DOCUMENTACAO_ARQUITETURAL_VIVA_OFICIAL.md";"Aula planejada: Documentacao arquitetural viva. Formar raciocinio de engenharia e arquitetura: fronteiras, DDD, sistemas distribuidos, trade-offs e lideranca tecnica.";"GRADE_RECONSTRUIDA_CONTINUIDADE_FINAL_POS_635";"Gerar somente quando chegar nesta aula. Validar contra a aula anterior imediata, manter numeracao, modulo, laboratorio, escopo e ponte."
"664";"M19.54";"M19";"Arquitetura, DDD, sistemas distribuidos e lideranca tecnica";"PLANEJADA_RECONSTRUIDA";"Projeto pratico guiado";"Projeto arquitetura OS parte 1";"664_M19_54_PROJETO_ARQUITETURA_OS_PARTE_1_OFICIAL.md";"Aula planejada: Projeto arquitetura OS parte 1. Formar raciocinio de engenharia e arquitetura: fronteiras, DDD, sistemas distribuidos, trade-offs e lideranca tecnica.";"GRADE_RECONSTRUIDA_CONTINUIDADE_FINAL_POS_635";"Gerar somente quando chegar nesta aula. Validar contra a aula anterior imediata, manter numeracao, modulo, laboratorio, escopo e ponte."
"665";"M19.55";"M19";"Arquitetura, DDD, sistemas distribuidos e lideranca tecnica";"PLANEJADA_RECONSTRUIDA";"Projeto pratico guiado";"Projeto arquitetura OS parte 2";"665_M19_55_PROJETO_ARQUITETURA_OS_PARTE_2_OFICIAL.md";"Aula planejada: Projeto arquitetura OS parte 2. Formar raciocinio de engenharia e arquitetura: fronteiras, DDD, sistemas distribuidos, trade-offs e lideranca tecnica.";"GRADE_RECONSTRUIDA_CONTINUIDADE_FINAL_POS_635";"Gerar somente quando chegar nesta aula. Validar contra a aula anterior imediata, manter numeracao, modulo, laboratorio, escopo e ponte."
"666";"M19.56";"M19";"Arquitetura, DDD, sistemas distribuidos e lideranca tecnica";"PLANEJADA_RECONSTRUIDA";"Revisao tecnica";"Revisao arquitetura parte 1";"666_M19_56_REVISAO_ARQUITETURA_PARTE_1_OFICIAL.md";"Aula planejada: Revisao arquitetura parte 1. Formar raciocinio de engenharia e arquitetura: fronteiras, DDD, sistemas distribuidos, trade-offs e lideranca tecnica.";"GRADE_RECONSTRUIDA_CONTINUIDADE_FINAL_POS_635";"Gerar somente quando chegar nesta aula. Validar contra a aula anterior imediata, manter numeracao, modulo, laboratorio, escopo e ponte."
"667";"M19.57";"M19";"Arquitetura, DDD, sistemas distribuidos e lideranca tecnica";"PLANEJADA_RECONSTRUIDA";"Revisao tecnica";"Revisao arquitetura parte 2";"667_M19_57_REVISAO_ARQUITETURA_PARTE_2_OFICIAL.md";"Aula planejada: Revisao arquitetura parte 2. Formar raciocinio de engenharia e arquitetura: fronteiras, DDD, sistemas distribuidos, trade-offs e lideranca tecnica.";"GRADE_RECONSTRUIDA_CONTINUIDADE_FINAL_POS_635";"Gerar somente quando chegar nesta aula. Validar contra a aula anterior imediata, manter numeracao, modulo, laboratorio, escopo e ponte."
"668";"M19.58";"M19";"Arquitetura, DDD, sistemas distribuidos e lideranca tecnica";"PLANEJADA_RECONSTRUIDA";"Avaliacao pratica";"Prova pratica arquitetura";"668_M19_58_PROVA_PRATICA_ARQUITETURA_OFICIAL.md";"Aula planejada: Prova pratica arquitetura. Formar raciocinio de engenharia e arquitetura: fronteiras, DDD, sistemas distribuidos, trade-offs e lideranca tecnica.";"GRADE_RECONSTRUIDA_CONTINUIDADE_FINAL_POS_635";"Gerar somente quando chegar nesta aula. Validar contra a aula anterior imediata, manter numeracao, modulo, laboratorio, escopo e ponte."
"669";"M19.59";"M19";"Arquitetura, DDD, sistemas distribuidos e lideranca tecnica";"PLANEJADA_RECONSTRUIDA";"Aula pratica guiada";"Checklist de arquiteto Java";"669_M19_59_CHECKLIST_DE_ARQUITETO_JAVA_OFICIAL.md";"Aula planejada: Checklist de arquiteto Java. Formar raciocinio de engenharia e arquitetura: fronteiras, DDD, sistemas distribuidos, trade-offs e lideranca tecnica.";"GRADE_RECONSTRUIDA_CONTINUIDADE_FINAL_POS_635";"Gerar somente quando chegar nesta aula. Validar contra a aula anterior imediata, manter numeracao, modulo, laboratorio, escopo e ponte."
"670";"M19.60";"M19";"Arquitetura, DDD, sistemas distribuidos e lideranca tecnica";"PLANEJADA_RECONSTRUIDA";"Fechamento de modulo";"Fechamento do Modulo 19";"670_M19_60_FECHAMENTO_DO_MODULO_19_OFICIAL.md";"Aula planejada: Fechamento do Modulo 19. Formar raciocinio de engenharia e arquitetura: fronteiras, DDD, sistemas distribuidos, trade-offs e lideranca tecnica.";"GRADE_RECONSTRUIDA_CONTINUIDADE_FINAL_POS_635";"Gerar somente quando chegar nesta aula. Validar contra a aula anterior imediata, manter numeracao, modulo, laboratorio, escopo e ponte."
"671";"M20.01";"M20";"Projeto final, carreira, entrevistas e defesa tecnica";"PLANEJADA_RECONSTRUIDA";"Projeto pratico guiado";"Definicao projeto final";"671_M20_01_DEFINICAO_PROJETO_FINAL_OFICIAL.md";"Aula planejada: Definicao projeto final. Consolidar tudo em projeto final defensavel, portfolio, entrevistas, narrativa tecnica e banca final.";"GRADE_RECONSTRUIDA_CONTINUIDADE_FINAL_POS_635";"Gerar somente quando chegar nesta aula. Validar contra a aula anterior imediata, manter numeracao, modulo, laboratorio, escopo e ponte."
"672";"M20.02";"M20";"Projeto final, carreira, entrevistas e defesa tecnica";"PLANEJADA_RECONSTRUIDA";"Projeto pratico guiado";"Backlog projeto final";"672_M20_02_BACKLOG_PROJETO_FINAL_OFICIAL.md";"Aula planejada: Backlog projeto final. Consolidar tudo em projeto final defensavel, portfolio, entrevistas, narrativa tecnica e banca final.";"GRADE_RECONSTRUIDA_CONTINUIDADE_FINAL_POS_635";"Gerar somente quando chegar nesta aula. Validar contra a aula anterior imediata, manter numeracao, modulo, laboratorio, escopo e ponte."
"673";"M20.03";"M20";"Projeto final, carreira, entrevistas e defesa tecnica";"PLANEJADA_RECONSTRUIDA";"Aula pratica guiada";"Escopo funcional";"673_M20_03_ESCOPO_FUNCIONAL_OFICIAL.md";"Aula planejada: Escopo funcional. Consolidar tudo em projeto final defensavel, portfolio, entrevistas, narrativa tecnica e banca final.";"GRADE_RECONSTRUIDA_CONTINUIDADE_FINAL_POS_635";"Gerar somente quando chegar nesta aula. Validar contra a aula anterior imediata, manter numeracao, modulo, laboratorio, escopo e ponte."
"674";"M20.04";"M20";"Projeto final, carreira, entrevistas e defesa tecnica";"PLANEJADA_RECONSTRUIDA";"Aula pratica guiada";"Modelagem dominio final";"674_M20_04_MODELAGEM_DOMINIO_FINAL_OFICIAL.md";"Aula planejada: Modelagem dominio final. Consolidar tudo em projeto final defensavel, portfolio, entrevistas, narrativa tecnica e banca final.";"GRADE_RECONSTRUIDA_CONTINUIDADE_FINAL_POS_635";"Gerar somente quando chegar nesta aula. Validar contra a aula anterior imediata, manter numeracao, modulo, laboratorio, escopo e ponte."
"675";"M20.05";"M20";"Projeto final, carreira, entrevistas e defesa tecnica";"PLANEJADA_RECONSTRUIDA";"Aula pratica guiada";"Modelagem banco final";"675_M20_05_MODELAGEM_BANCO_FINAL_OFICIAL.md";"Aula planejada: Modelagem banco final. Consolidar tudo em projeto final defensavel, portfolio, entrevistas, narrativa tecnica e banca final.";"GRADE_RECONSTRUIDA_CONTINUIDADE_FINAL_POS_635";"Gerar somente quando chegar nesta aula. Validar contra a aula anterior imediata, manter numeracao, modulo, laboratorio, escopo e ponte."
"676";"M20.06";"M20";"Projeto final, carreira, entrevistas e defesa tecnica";"PLANEJADA_RECONSTRUIDA";"Aula pratica guiada";"Arquitetura C4 final";"676_M20_06_ARQUITETURA_C4_FINAL_OFICIAL.md";"Aula planejada: Arquitetura C4 final. Consolidar tudo em projeto final defensavel, portfolio, entrevistas, narrativa tecnica e banca final.";"GRADE_RECONSTRUIDA_CONTINUIDADE_FINAL_POS_635";"Gerar somente quando chegar nesta aula. Validar contra a aula anterior imediata, manter numeracao, modulo, laboratorio, escopo e ponte."
"677";"M20.07";"M20";"Projeto final, carreira, entrevistas e defesa tecnica";"PLANEJADA_RECONSTRUIDA";"Projeto pratico guiado";"ADRs do projeto";"677_M20_07_ADRS_DO_PROJETO_OFICIAL.md";"Aula planejada: ADRs do projeto. Consolidar tudo em projeto final defensavel, portfolio, entrevistas, narrativa tecnica e banca final.";"GRADE_RECONSTRUIDA_CONTINUIDADE_FINAL_POS_635";"Gerar somente quando chegar nesta aula. Validar contra a aula anterior imediata, manter numeracao, modulo, laboratorio, escopo e ponte."
"678";"M20.08";"M20";"Projeto final, carreira, entrevistas e defesa tecnica";"PLANEJADA_RECONSTRUIDA";"Aula pratica guiada";"Configuracao repositorio profissional";"678_M20_08_CONFIGURACAO_REPOSITORIO_PROFISSIONAL_OFICIAL.md";"Aula planejada: Configuracao repositorio profissional. Consolidar tudo em projeto final defensavel, portfolio, entrevistas, narrativa tecnica e banca final.";"GRADE_RECONSTRUIDA_CONTINUIDADE_FINAL_POS_635";"Gerar somente quando chegar nesta aula. Validar contra a aula anterior imediata, manter numeracao, modulo, laboratorio, escopo e ponte."
"679";"M20.09";"M20";"Projeto final, carreira, entrevistas e defesa tecnica";"PLANEJADA_RECONSTRUIDA";"Aula pratica guiada";"Implementacao dominio";"679_M20_09_IMPLEMENTACAO_DOMINIO_OFICIAL.md";"Aula planejada: Implementacao dominio. Consolidar tudo em projeto final defensavel, portfolio, entrevistas, narrativa tecnica e banca final.";"GRADE_RECONSTRUIDA_CONTINUIDADE_FINAL_POS_635";"Gerar somente quando chegar nesta aula. Validar contra a aula anterior imediata, manter numeracao, modulo, laboratorio, escopo e ponte."
"680";"M20.10";"M20";"Projeto final, carreira, entrevistas e defesa tecnica";"PLANEJADA_RECONSTRUIDA";"Aula pratica guiada";"Implementacao casos de uso";"680_M20_10_IMPLEMENTACAO_CASOS_DE_USO_OFICIAL.md";"Aula planejada: Implementacao casos de uso. Consolidar tudo em projeto final defensavel, portfolio, entrevistas, narrativa tecnica e banca final.";"GRADE_RECONSTRUIDA_CONTINUIDADE_FINAL_POS_635";"Gerar somente quando chegar nesta aula. Validar contra a aula anterior imediata, manter numeracao, modulo, laboratorio, escopo e ponte."
"681";"M20.11";"M20";"Projeto final, carreira, entrevistas e defesa tecnica";"PLANEJADA_RECONSTRUIDA";"Aula pratica guiada";"Implementacao persistencia";"681_M20_11_IMPLEMENTACAO_PERSISTENCIA_OFICIAL.md";"Aula planejada: Implementacao persistencia. Consolidar tudo em projeto final defensavel, portfolio, entrevistas, narrativa tecnica e banca final.";"GRADE_RECONSTRUIDA_CONTINUIDADE_FINAL_POS_635";"Gerar somente quando chegar nesta aula. Validar contra a aula anterior imediata, manter numeracao, modulo, laboratorio, escopo e ponte."
"682";"M20.12";"M20";"Projeto final, carreira, entrevistas e defesa tecnica";"PLANEJADA_RECONSTRUIDA";"Aula pratica guiada";"Implementacao API REST";"682_M20_12_IMPLEMENTACAO_API_REST_OFICIAL.md";"Aula planejada: Implementacao API REST. Consolidar tudo em projeto final defensavel, portfolio, entrevistas, narrativa tecnica e banca final.";"GRADE_RECONSTRUIDA_CONTINUIDADE_FINAL_POS_635";"Gerar somente quando chegar nesta aula. Validar contra a aula anterior imediata, manter numeracao, modulo, laboratorio, escopo e ponte."
