"numero_aula";"arquivo_md";"h1";"titulo_extraido";"tamanho_bytes";"atualizado_em"
"44";"044_M1_24_VALIDACAO_DE_ENTRADA_SEM_TRY_CATCH_PROFUNDO_OFICIAL.md";"";"";"48727";"2026-07-08 08:53:37"
"45";"045_M1_25_ARRAYS_DE_NUMEROS_OFICIAL.md";"";"";"34725";"2026-07-08 08:53:37"
"46";"046_M1_26_ARRAYS_COM_TAMANHO_DEFINIDO_PELO_USUARIO_OFICIAL.md";"";"";"42972";"2026-07-08 08:53:37"
"47";"047_M1_27_ALTERACAO_DE_POSICOES_DO_ARRAY_OFICIAL.md";"";"";"40512";"2026-07-08 08:53:37"
"48";"048_M1_28_BUSCA_EM_ARRAY_OFICIAL.md";"";"";"45055";"2026-07-08 08:53:37"
"49";"049_M1_29_MAIOR_MENOR_SOMA_E_MEDIA_EM_ARRAY_OFICIAL.md";"";"";"45882";"2026-07-08 08:53:37"
"50";"050_M1_30_ARRAYS_DE_STRING_OFICIAL.md";"";"";"45656";"2026-07-08 08:53:37"
"51";"051_M1_31_ARRAYS_PARALELOS_OFICIAL.md";"";"";"51481";"2026-07-08 08:53:37"
"52";"052_M1_32_MATRIZ_BIDIMENSIONAL_INICIAL_OFICIAL.md";"";"";"37197";"2026-07-08 08:53:37"
"53";"053_M1_33_METODOS_SEM_RETORNO_OFICIAL.md";"";"";"40278";"2026-07-08 08:53:37"
"54";"054_M1_34_METODOS_COM_RETORNO_OFICIAL.md";"";"";"42170";"2026-07-08 08:53:37"
"55";"055_M1_35_METODOS_COM_PARAMETROS_OFICIAL.md";"";"";"42925";"2026-07-08 08:53:37"
"56";"056_M1_36_SOBRECARGA_DE_METODOS_INICIAL_OFICIAL.md";"";"";"33598";"2026-07-08 08:53:37"
"57";"057_M1_37_ESCOPO_DE_VARIAVEIS_OFICIAL.md";"";"";"38938";"2026-07-08 08:53:37"
"58";"058_M1_38_PASSAGEM_DE_VALORES_E_REFERENCIAS_OFICIAL.md";"";"";"40087";"2026-07-08 08:53:37"
"59";"059_M1_39_TRATAMENTO_INICIAL_DE_ERROS_DE_ENTRADA_OFICIAL.md";"";"";"47365";"2026-07-08 08:53:37"
"60";"060_M1_40_DEBUG_APLICADO_AOS_FUNDAMENTOS_OFICIAL.md";"";"";"34557";"2026-07-08 08:53:37"
"61";"061_M1_41_MINI_PROJETO_CALCULADORA_PROFISSIONAL_CONSOLE_OFICIAL.md";"# Calculadora Profissional Console";"# Calculadora Profissional Console";"53595";"2026-07-08 08:53:37"
"62";"062_M2_01_JVM_BYTECODE_E_EXECUCAO_POR_BAIXO_OFICIAL.md";"";"";"31127";"2026-07-08 08:53:37"
"63";"063_M2_02_STACK_HEAP_E_REFERENCIAS_OFICIAL.md";"";"";"38683";"2026-07-08 08:53:37"
"64";"064_M2_03_GARBAGE_COLLECTOR_CONCEITUAL_OFICIAL.md";"";"";"36826";"2026-07-08 08:53:37"
"65";"065_M2_04_DEFAULT_VALUES_E_INICIALIZACAO_OFICIAL.md";"";"";"42924";"2026-07-08 08:53:37"
"66";"066_M2_05_NULL_E_NULLPOINTEREXCEPTION_OFICIAL.md";"";"";"45226";"2026-07-08 08:53:37"
"67";"067_M2_06_STRING_POOL_E_IMUTABILIDADE_DE_STRING_OFICIAL.md";"";"";"34658";"2026-07-08 08:53:37"
"68";"068_M2_07_STRINGBUILDER_E_STRINGBUFFER_OFICIAL.md";"";"";"36129";"2026-07-08 08:53:37"
"69";"069_M2_08_WRAPPERS_E_AUTOBOXING_OFICIAL.md";"";"";"35952";"2026-07-08 08:53:37"
"70";"070_M2_09_CONVERSOES_E_CASTING_OFICIAL.md";"";"";"46361";"2026-07-08 08:53:37"
"71";"071_M2_10_MATH_RANDOM_E_NUMEROS_UTILITARIOS_OFICIAL.md";"";"";"36998";"2026-07-08 08:53:37"
"72";"072_M2_11_BIGDECIMAL_DESDE_A_BASE_OFICIAL.md";"";"";"40343";"2026-07-08 08:53:37"
"73";"073_M2_12_LOCALE_NUMBERFORMAT_E_FORMATACAO_OFICIAL.md";"";"";"36879";"2026-07-08 08:53:37"
"74";"074_M2_13_JAVA_TIME_BASICO_OFICIAL.md";"";"";"37891";"2026-07-08 08:53:37"
"75";"075_M2_14_TIMEZONE_E_INSTANT_OFICIAL.md";"";"";"34537";"2026-07-08 08:53:37"
"76";"076_M2_15_ENUM_PROFISSIONAL_OFICIAL.md";"";"";"37898";"2026-07-08 08:53:37"
"77";"077_M2_16_RECORDS_OFICIAL.md";"";"";"40772";"2026-07-08 08:53:37"
"78";"078_M2_17_VAR_COM_CRITERIO_OFICIAL.md";"";"";"32122";"2026-07-08 08:53:37"
"79";"079_M2_18_VARARGS_OFICIAL.md";"";"";"35450";"2026-07-08 08:53:37"
"80";"080_M2_19_ANNOTATIONS_BASICAS_OFICIAL.md";"";"";"34296";"2026-07-08 08:53:37"
"81";"081_M2_20_REFLECTION_CONCEITUAL_OFICIAL.md";"";"";"39648";"2026-07-08 08:53:37"
"82";"082_M2_21_SEALED_CLASSES_E_INTERFACES_OFICIAL.md";"";"";"34569";"2026-07-08 08:53:37"
"83";"083_M2_22_PATTERN_MATCHING_OFICIAL.md";"";"";"33169";"2026-07-08 08:53:37"
"84";"084_M2_23_TEXT_BLOCKS_OFICIAL.md";"";"";"31070";"2026-07-08 08:53:37"
"85";"085_M2_24_EXCEPTIONS_POR_BAIXO_OFICIAL.md";"";"";"41503";"2026-07-08 08:53:37"
"86";"086_M2_25_ENTRADA_SAIDA_BASICA_COM_CONSOLE_ROBUSTO_OFICIAL.md";"";"";"41170";"2026-07-08 08:53:37"
"87";"087_M2_26_ORGANIZACAO_DE_PACOTES_DESDE_CEDO_OFICIAL.md";"";"";"30323";"2026-07-08 08:53:37"
"88";"088_M2_27_LEITURA_DE_DOCUMENTACAO_OFICIAL.md";"";"";"33156";"2026-07-08 08:53:37"
"89";"089_M2_28_MINI_PROJETO_BIBLIOTECA_JAVA_CORE_OFICIAL.md";"";"";"31700";"2026-07-08 08:53:37"
"90";"090_M3_01_DE_MAIN_GIGANTE_PARA_METODOS_PEQUENOS_OFICIAL.md";"";"";"38916";"2026-07-08 08:53:37"
"91";"091_M3_02_ASSINATURA_DE_METODO_PROFISSIONAL_OFICIAL.md";"# 091 — M3.02 — Assinatura de método profissional";"# 091 — M3.02 — Assinatura de método profissional";"36316";"2026-07-08 08:53:37"
"92";"092_M3_03_COESAO_EM_METODOS_OFICIAL.md";"# 092 — M3.03 — Coesão em métodos";"# 092 — M3.03 — Coesão em métodos";"39156";"2026-07-08 08:53:37"
"93";"093_M3_04_PARAMETROS_DEMAIS_E_ALTERNATIVAS_OFICIAL.md";"# 093 — M3.04 — Parâmetros demais e alternativas";"# 093 — M3.04 — Parâmetros demais e alternativas";"32554";"2026-07-08 08:53:37"
"94";"094_M3_05_RETORNO_BOOLEAN_PARA_VALIDACAO_OFICIAL.md";"# 094 — M3.05 — Retorno boolean para validação";"# 094 — M3.05 — Retorno boolean para validação";"27615";"2026-07-08 08:53:37"
"95";"095_M3_06_METODOS_DE_CALCULO_OFICIAL.md";"# 095 — Métodos de cálculo";"# 095 — Métodos de cálculo";"12936";"2026-07-08 08:39:09"
"96";"096_M3_07_METODOS_DE_EXIBICAO_OFICIAL.md";"# 096 — Métodos de exibição";"# 096 — Métodos de exibição";"11476";"2026-07-08 08:40:03"
"97";"097_M3_08_METODOS_DE_LEITURA_OFICIAL.md";"# 097 — Métodos de leitura";"# 097 — Métodos de leitura";"11123";"2026-07-08 08:40:33"
"98";"098_M3_09_REUSO_SEM_DUPLICACAO_OFICIAL.md";"# 098 — Reuso sem duplicação";"# 098 — Reuso sem duplicação";"10792";"2026-07-08 08:41:04"
"99";"099_M3_10_DEBUG_ENTRANDO_EM_METODOS_OFICIAL.md";"# 099 — Debug entrando em métodos";"# 099 — Debug entrando em métodos";"9371";"2026-07-08 08:41:34"
"100";"100_M3_11_REFATORACAO_EXTRACT_METHOD_NO_INTELLIJ_OFICIAL.md";"# 100 — Refatoração Extract Method no IntelliJ";"# 100 — Refatoração Extract Method no IntelliJ";"10163";"2026-07-08 08:42:08"
"101";"101_M3_12_MINI_ARQUITETURA_PROCEDURAL_OFICIAL.md";"# 101 — M3.12 — Mini arquitetura procedural";"# 101 — M3.12 — Mini arquitetura procedural";"19956";"2026-07-08 08:53:37"
"102";"102_M3_13_PROJETO_CALCULADORA_CONSOLE_REVISITADA_OFICIAL.md";"# 102 — M3.13 — Projeto calculadora console revisitada";"# 102 — M3.13 — Projeto calculadora console revisitada";"20358";"2026-07-08 08:53:37"
"103";"103_M3_14_PROJETO_PROCESSAMENTO_DE_OS_CONSOLE_OFICIAL.md";"# 103 — M3.14 — Projeto processamento de OS console";"# 103 — M3.14 — Projeto processamento de OS console";"24275";"2026-07-08 08:53:37"
"104";"104_M3_15_REVISAO_FINAL_DE_FUNDAMENTOS_ANTES_DE_OO_OFICIAL.md";"# 104 — M3.15 — Revisão final de fundamentos antes de OO";"# 104 — M3.15 — Revisão final de fundamentos antes de OO";"24342";"2026-07-08 08:53:37"
"105";"105_M4_01_PENSAMENTO_ORIENTADO_A_OBJETOS_OFICIAL.md";"# 105 — M4.01 — Pensamento orientado a objetos";"# 105 — M4.01 — Pensamento orientado a objetos";"22991";"2026-07-08 08:53:37"
"106";"106_M4_02_MODELAGEM_NO_PAPEL_OFICIAL.md";"# 106 — M4.02 — Modelagem no papel";"# 106 — M4.02 — Modelagem no papel";"23309";"2026-07-08 08:53:37"
"107";"107_M4_03_CLASSE_E_OBJETO_EM_JAVA_OFICIAL.md";"# 107 — M4.03 — Classe e objeto em Java";"# 107 — M4.03 — Classe e objeto em Java";"23360";"2026-07-08 08:53:37"
"108";"108_M4_04_ATRIBUTOS_COM_SIGNIFICADO_OFICIAL.md";"# 108 — M4.04 — Atributos com significado";"# 108 — M4.04 — Atributos com significado";"22791";"2026-07-08 08:53:37"
"109";"109_M4_05_METODOS_DE_COMPORTAMENTO_OFICIAL.md";"# 109 — M4.05 — Métodos de comportamento";"# 109 — M4.05 — Métodos de comportamento";"25885";"2026-07-08 08:53:37"
"110";"110_M4_06_CONSTRUTOR_PADRAO_E_PARAMETRIZADO_OFICIAL.md";"# 110 — M4.06 — Construtor padrão e parametrizado";"# 110 — M4.06 — Construtor padrão e parametrizado";"27186";"2026-07-08 08:53:37"
"111";"111_M4_07_ENCAPSULAMENTO_DE_VERDADE_OFICIAL.md";"# 111 — M4.07 — Encapsulamento de verdade";"# 111 — M4.07 — Encapsulamento de verdade";"29573";"2026-07-08 08:53:37"
"112";"112_M4_08_GETTERS_SETTERS_E_CRITERIO_OFICIAL.md";"# 112 — M4.08 — Getters, setters e critério";"# 112 — M4.08 — Getters, setters e critério";"26885";"2026-07-08 08:53:37"
"113";"113_M4_09_IMUTABILIDADE_APLICADA_OFICIAL.md";"# 113 — M4.09 — Imutabilidade aplicada";"# 113 — M4.09 — Imutabilidade aplicada";"28132";"2026-07-08 08:53:37"
"114";"114_M4_10_COMPOSICAO_OFICIAL.md";"# 114 — M4.10 — Composição";"# 114 — M4.10 — Composição";"39394";"2026-07-08 08:53:37"
"115";"115_M4_11_RELACIONAMENTO_ENTRE_OBJETOS_OFICIAL.md";"# 115 — M4.11 — Relacionamento entre objetos";"# 115 — M4.11 — Relacionamento entre objetos";"41048";"2026-07-08 08:53:37"
"116";"116_M4_12_OBJETOS_DE_VALOR_OFICIAL.md";"# 116 — M4.12 — Objetos de valor";"# 116 — M4.12 — Objetos de valor";"33909";"2026-07-08 08:53:37"
"117";"117_M4_13_ENTIDADES_OFICIAL.md";"# 117 — M4.13 — Entidades";"# 117 — M4.13 — Entidades";"42000";"2026-07-08 08:53:37"
"118";"118_M4_14_IDENTIDADE_DE_OBJETOS_OFICIAL.md";"# 118 — M4.14 — Identidade de objetos";"# 118 — M4.14 — Identidade de objetos";"29866";"2026-07-08 08:53:37"
"119";"119_M4_15_EQUALS_HASHCODE_OFICIAL.md";"# 119 — M4.15 — equals e hashCode";"# 119 — M4.15 — equals e hashCode";"33507";"2026-07-08 08:53:37"
"120";"120_M4_16_TO_STRING_COM_CRITERIO_OFICIAL.md";"# 120 — M4.16 — toString com critério";"# 120 — M4.16 — toString com critério";"34355";"2026-07-08 08:53:37"
"121";"121_M4_17_STATIC_COM_CRITERIO_OFICIAL.md";"# 121 — M4.17 — static com critério";"# 121 — M4.17 — static com critério";"31661";"2026-07-08 08:53:37"
"122";"122_M4_18_FINAL_EM_CLASSES_METODOS_E_ATRIBUTOS_OFICIAL.md";"# 122 — M4.18 — final em classes, métodos e atributos";"# 122 — M4.18 — final em classes, métodos e atributos";"31375";"2026-07-08 08:53:37"
"123";"123_M4_19_SOBRECARGA_DE_CONSTRUTORES_OFICIAL.md";"# 123 — M4.19 — Sobrecarga de construtores";"# 123 — M4.19 — Sobrecarga de construtores";"43223";"2026-07-08 08:53:37"
"124";"124_M4_20_THIS_E_SELF_REFERENCE_OFICIAL.md";"# 124 — M4.20 — this e autorreferência";"# 124 — M4.20 — this e autorreferência";"39943";"2026-07-08 08:53:37"
"125";"125_M4_21_ORGANIZACAO_DE_CLASSES_EM_ARQUIVOS_OFICIAL.md";"# 125 — M4.21 — Organização de classes em arquivos";"# 125 — M4.21 — Organização de classes em arquivos";"38272";"2026-07-08 08:53:37"
"126";"126_M4_22_PACOTES_DE_DOMINIO_OFICIAL.md";"# 126 — M4.22 — Pacotes de domínio";"# 126 — M4.22 — Pacotes de domínio";"35221";"2026-07-08 08:08:22"
"127";"127_M4_23_MODIFICADORES_DE_ACESSO_OFICIAL.md";"# 127 — M4.23 — Modificadores de acesso";"# 127 — M4.23 — Modificadores de acesso";"30309";"2026-07-08 08:27:32"
"128";"128_M4_24_COESAO_EM_CLASSES_OFICIAL.md";"# 128 — M4.24 — Coesão em classes";"# 128 — M4.24 — Coesão em classes";"44464";"2026-07-08 08:54:23"
"129";"129_M4_25_ACOPLAMENTO_ENTRE_CLASSES_OFICIAL.md";"# 129 — M4.25 — Acoplamento entre classes";"# 129 — M4.25 — Acoplamento entre classes";"40508";"2026-07-08 09:06:12"
"130";"130_M4_26_COLABORACAO_ENTRE_OBJETOS_OFICIAL.md";"# 130 — M4.26 — Colaboração entre objetos";"# 130 — M4.26 — Colaboração entre objetos";"42597";"2026-07-08 09:17:24"
"131";"131_M4_27_TELL_DONT_ASK_OFICIAL.md";"# 131 — M4.27 — Tell, Don't Ask";"# 131 — M4.27 — Tell, Don't Ask";"38215";"2026-07-08 09:23:01"
"132";"132_M4_28_OBJETOS_ANEMICOS_OFICIAL.md";"# 132 — M4.28 — Objetos anêmicos";"# 132 — M4.28 — Objetos anêmicos";"41972";"2026-07-08 09:31:01"
"133";"133_M4_29_INVARIANTES_DE_DOMINIO_OFICIAL.md";"# 133 — M4.29 — Invariantes de domínio";"# 133 — M4.29 — Invariantes de domínio";"41414";"2026-07-08 09:37:35"
"134";"134_M4_30_SERVICOS_DE_DOMINIO_INICIAL_OFICIAL.md";"# 134 — M4.30 — Serviços de domínio inicial";"# 134 — M4.30 — Serviços de domínio inicial";"41458";"2026-07-08 09:43:10"
"135";"135_M4_31_FACTORIES_SIMPLES_OFICIAL.md";"# 135 — M4.31 — Factories simples";"# 135 — M4.31 — Factories simples";"47925";"2026-07-08 10:00:53"
"136";"136_M4_32_BUILDER_INICIAL_OFICIAL.md";"# 136 — M4.32 — Builder inicial";"# 136 — M4.32 — Builder inicial";"51285";"2026-07-08 10:31:01"
"137";"137_M4_33_COLECOES_DENTRO_DE_OBJETOS_OFICIAL.md";"# 137 — M4.33 — Coleções dentro de objetos";"# 137 — M4.33 — Coleções dentro de objetos";"49109";"2026-07-08 10:37:06"
"138";"138_M4_34_COMPOSICAO_COM_COLECOES_OFICIAL.md";"# 138 — M4.34 — Composição com coleções";"# 138 — M4.34 — Composição com coleções";"47540";"2026-07-08 10:41:36"
"139";"139_M4_35_AGREGADOS_INICIAL_OFICIAL.md";"# 139 — M4.35 — Agregados inicial";"# 139 — M4.35 — Agregados inicial";"56322";"2026-07-08 10:55:29"
"140";"140_M4_36_LIMITES_DE_RESPONSABILIDADE_DO_DOMINIO_OFICIAL.md";"# 140 — M4.36 — Limites de responsabilidade do domínio";"# 140 — M4.36 — Limites de responsabilidade do domínio";"54179";"2026-07-08 11:03:28"
"141";"141_M4_37_REVISAO_PRATICA_OO_DOMINIO_OFICIAL.md";"# 141 — M4.37 — Revisão prática OO + domínio";"# 141 — M4.37 — Revisão prática OO + domínio";"46946";"2026-07-08 11:07:13"
"142";"142_M4_38_MINI_PROJETO_ORDEM_SERVICO_CONSOLE_OFICIAL.md";"# 142 — M4.38 — Mini-projeto Ordem de Serviço Console";"# 142 — M4.38 — Mini-projeto Ordem de Serviço Console";"47712";"2026-07-08 11:11:03"
"143";"143_M4_39_MINI_PROJETO_ORDEM_SERVICO_CONSOLE_PARTE_2_OFICIAL.md";"# 143 — M4.39 — Mini-projeto Ordem de Serviço Console — Parte 2";"# 143 — M4.39 — Mini-projeto Ordem de Serviço Console — Parte 2";"51816";"2026-07-08 11:18:19"
"144";"144_M4_40_MINI_PROJETO_ORDEM_SERVICO_CONSOLE_PARTE_3_OFICIAL.md";"# 144 — M4.40 — Mini-projeto Ordem de Serviço Console — Parte 3";"# 144 — M4.40 — Mini-projeto Ordem de Serviço Console — Parte 3";"57878";"2026-07-08 11:28:10"
"145";"145_M4_41_FECHAMENTO_MODULO_4_ORIENTACAO_A_OBJETOS_OFICIAL.md";"# 145 — M4.41 — Fechamento do Módulo 4 — Orientação a Objetos";"# 145 — M4.41 — Fechamento do Módulo 4 — Orientação a Objetos";"27792";"2026-07-08 11:34:50"
"146";"146_M5_01_COLLECTIONS_FRAMEWORK_INICIAL_OFICIAL.md";"# 146 — M5.01 — Collections Framework inicial";"# 146 — M5.01 — Collections Framework inicial";"30550";"2026-07-08 11:54:01"
"147";"147_M5_02_LIMITACOES_DE_ARRAYS_E_ENTRADA_EM_COLLECTIONS_OFICIAL.md";"# 147 — M5.02 — Limitações de arrays e entrada em Collections";"# 147 — M5.02 — Limitações de arrays e entrada em Collections";"34352";"2026-07-08 12:33:49"
"148";"148_M5_03_LIST_INTERFACE_E_ARRAYLIST_OFICIAL.md";"# 148 — M5.03 — List interface e ArrayList";"# 148 — M5.03 — List interface e ArrayList";"34306";"2026-07-08 12:34:50"
"149";"149_M5_04_ARRAYLIST_OPERACOES_CRUD_OFICIAL.md";"# 149 — M5.04 — ArrayList operações CRUD";"# 149 — M5.04 — ArrayList operações CRUD";"40467";"2026-07-08 12:38:19"
"150";"150_M5_05_ITERACAO_COM_FOR_FOREACH_E_ITERATOR_OFICIAL.md";"# 150 — M5.05 — Iteração com for, foreach e Iterator";"# 150 — M5.05 — Iteração com for, foreach e Iterator";"37314";"2026-07-08 12:41:45"
"151";"151_M5_06_REMOCAO_SEGURA_EM_LISTAS_OFICIAL.md";"# 151 — M5.06 — Remoção segura em listas";"# 151 — M5.06 — Remoção segura em listas";"37841";"2026-07-08 12:44:48"
"152";"152_M5_07_LINKEDLIST_E_DIFERENCAS_COM_ARRAYLIST_OFICIAL.md";"# 152 — M5.07 — LinkedList e diferenças com ArrayList";"# 152 — M5.07 — LinkedList e diferenças com ArrayList";"28752";"2026-07-08 12:48:15"
"153";"153_M5_08_SET_INTERFACE_E_HASHSET_OFICIAL.md";"# 153 — M5.08 — Set interface e HashSet";"# 153 — M5.08 — Set interface e HashSet";"36270";"2026-07-08 12:53:37"
"154";"154_M5_09_IGUALDADE_EM_SET_COM_EQUALS_E_HASHCODE_OFICIAL.md";"# 154 — M5.09 — Igualdade em Set com equals e hashCode";"# 154 — M5.09 — Igualdade em Set com equals e hashCode";"36523";"2026-07-08 13:07:07"
"155";"155_M5_10_LINKEDHASHSET_TREESET_E_ORDEM_OFICIAL.md";"# 155 — M5.10 — LinkedHashSet, TreeSet e ordem";"# 155 — M5.10 — LinkedHashSet, TreeSet e ordem";"31208";"2026-07-08 13:44:27"
"156";"156_M5_11_MAP_INTERFACE_E_HASHMAP_OFICIAL.md";"# 156 — M5.11 — Map interface e HashMap";"# 156 — M5.11 — Map interface e HashMap";"49852";"2026-07-08 13:51:51"
"157";"157_M5_12_HASHMAP_OPERACOES_ESSENCIAIS_OFICIAL.md";"# 157 — M5.12 — HashMap operações essenciais";"# 157 — M5.12 — HashMap operações essenciais";"38400";"2026-07-08 13:55:02"
